Timestamp,Total Value,Unrealized PnL,Positions Held
2024-02-21 09:00:00+00:00,100000.0,0.0,0
2024-02-21 09:15:00+00:00,100000.0,0.0,0
2024-02-21 09:30:00+00:00,100000.0,0.0,0
2024-02-21 09:45:00+00:00,100000.0,0.0,0
2024-02-21 10:00:00+00:00,100000.0,0.0,0
2024-02-21 10:15:00+00:00,100000.0,0.0,0
2024-02-21 10:30:00+00:00,100000.0,0.0,0
2024-02-21 10:45:00+00:00,100000.0,0.0,0
2024-02-21 11:00:00+00:00,100000.0,0.0,0
2024-02-21 11:15:00+00:00,100000.0,0.0,0
2024-02-21 11:30:00+00:00,100000.0,0.0,0
2024-02-21 11:45:00+00:00,100000.0,0.0,0
2024-02-21 12:00:00+00:00,100000.0,0.0,0
2024-02-21 12:15:00+00:00,100000.0,0.0,0
2024-02-21 12:30:00+00:00,100000.0,0.0,0
2024-02-21 12:45:00+00:00,100000.0,0.0,0
2024-02-21 13:00:00+00:00,100000.0,0.0,0
2024-02-21 13:15:00+00:00,100000.0,0.0,0
2024-02-21 13:30:00+00:00,100000.0,0.0,0
2024-02-21 13:45:00+00:00,100000.0,0.0,0
2024-02-21 14:00:00+00:00,100000.0,0.0,0
2024-02-21 14:15:00+00:00,100000.0,0.0,0
2024-02-21 14:30:00+00:00,100000.0,0.0,0
2024-02-21 14:45:00+00:00,100000.0,0.0,0
2024-02-21 15:00:00+00:00,100000.0,0.0,0
2024-02-21 15:15:00+00:00,100000.0,0.0,0
2024-02-21 15:30:00+00:00,100000.0,0.0,0
2024-02-21 15:45:00+00:00,100000.0,0.0,0
2024-02-21 16:00:00+00:00,100000.0,0.0,0
2024-02-21 16:15:00+00:00,100000.0,0.0,0
2024-02-21 16:30:00+00:00,100000.0,0.0,0
2024-02-21 16:45:00+00:00,100000.0,0.0,0
2024-02-21 17:00:00+00:00,100000.0,0.0,0
2024-02-21 17:15:00+00:00,100000.0,0.0,0
2024-02-21 17:30:00+00:00,100000.0,0.0,0
2024-02-21 17:45:00+00:00,100000.0,0.0,0
2024-02-21 18:00:00+00:00,100000.0,0.0,0
2024-02-21 18:15:00+00:00,100000.0,0.0,0
2024-02-21 18:30:00+00:00,100000.0,0.0,0
2024-02-21 18:45:00+00:00,100000.0,0.0,0
2024-02-21 19:00:00+00:00,100000.0,0.0,0
2024-02-21 19:15:00+00:00,100000.0,0.0,0
2024-02-21 19:30:00+00:00,100000.0,0.0,0
2024-02-21 19:45:00+00:00,100000.0,0.0,0
2024-02-21 20:00:00+00:00,100000.0,0.0,0
2024-02-21 20:15:00+00:00,100000.0,0.0,0
2024-02-21 20:30:00+00:00,100000.0,0.0,0
2024-02-21 20:45:00+00:00,100000.0,0.0,6
2024-02-21 21:00:00+00:00,99996.46,-3.54,6
2024-02-21 21:15:00+00:00,100026.7,26.7,6
2024-02-21 21:30:00+00:00,100038.09,38.09,6
2024-02-21 21:45:00+00:00,100049.74,49.74,6
2024-02-21 22:00:00+00:00,100051.59,51.59,6
2024-02-21 22:15:00+00:00,100049.98,49.98,6
2024-02-21 22:30:00+00:00,100053.27,53.27,6
2024-02-21 22:45:00+00:00,100052.38,52.38,6
2024-02-21 23:00:00+00:00,99303.85,44.64,6
2024-02-21 23:15:00+00:00,100053.63,53.63,6
2024-02-21 23:30:00+00:00,100055.05,55.05,6
2024-02-21 23:45:00+00:00,100057.17,57.17,6
2024-02-22 00:00:00+00:00,99314.43,55.22,6
2024-02-22 00:15:00+00:00,98253.56,42.52,6
2024-02-22 00:30:00+00:00,100073.05,73.05,6
2024-02-22 00:45:00+00:00,99328.83,69.62,6
2024-02-22 09:00:00+00:00,100114.58,114.58,6
2024-02-22 09:15:00+00:00,100105.54,105.54,6
2024-02-22 09:30:00+00:00,100108.31,108.31,6
2024-02-22 09:45:00+00:00,98285.92,74.88,6
2024-02-22 10:00:00+00:00,99355.37,96.16,6
2024-02-22 10:15:00+00:00,99354.11,94.9,6
2024-02-22 10:30:00+00:00,99154.12,87.58,6
2024-02-22 10:45:00+00:00,99355.21,96.0,6
